"id","title"
149,"Acetone"
230,"Æggebakker (pap)"
322,"Æggebakker (Plast)"
231,"Æsker"
285,"Affaldssække"
151,"Afløbsrens"
52,"Akvarier"
132,"Alkaliske batterier"
212,"Alufolie"
213,"Aluminium, småt"
214,"Aluminium, stort"
179,"Armatur til lysstofrør"
67,"Asbest"
128,"Asbestplader"
1,"Asfalt"
2,"Asfaltpap"
63,"Aske"
245,"Aviser"
64,"Badebassiner"
48,"Badekar"
69,"Bærbare computere"
216,"Barberblade"
114,"Barbermaskiner"
126,"Batterier"
6,"Belægningssten"
152,"Benzin"
307,"Beskidt flamingo"
13,"Beskidte murerbaljer"
3,"Beton"
12,"Betontagsten"
136,"Bilbatterier"
294,"Bildæk"
102,"Billedrør"
53,"Bilruder"
192,"Blade"
96,"Blækpatroner"
115,"Blender"
286,"Blød plast"
193,"Blomster"
61,"Blyindfattede ruder"
287,"Bobleplast"
237,"Bøger"
226,"Bølgepap"
153,"Borsyre"
197,"Brænde"
217,"Brændeovne"
246,"Breve"
116,"Brødrister"
18,"Brokker"
7,"Brosten"
65,"Bruseforhæng"
194,"Buske"
183,"Campinggas"
8,"Cement"
137,"Cykelbatterier"
301,"Cykeldæk"
117,"Cykellygter"
300,"Cykelslange"
218,"Cykler"
293,"Dæk"
155,"Deodorant"
208,"Drikkedåser"
186,"Drikkeglas"
232,"Drikkekartoner"
54,"Drivhusglas"
253,"Duge"
324,"Dunke fra motorolie og kemikalier"
87,"Dybfrysere"
262,"Dyner"
91,"El-ledninger"
118,"Elelktrisk værktøj"
142,"Elpærer"
105,"Emhætter"
273,"Engangspaller"
260,"Enlige sokker"
14,"Eternit"
130,"Eternitplader"
274,"Europaller"
88,"Fadølsanlæg"
156,"Farvefjerner"
97,"Farvepatroner"
157,"Fernis"
131,"Fibercement"
119,"Fjernbetjeninger"
70,"Fjernsyn (Fladskærm)"
71,"Fladskærme"
302,"Flamingo"
309,"Flamingochips"
303,"Flamingoemballage"
304,"Flamingokasser"
306,"Flamingooplader (Isolering)"
278,"Flethegn"
205,"Forurenet jord"
247,"Fotopapir"
84,"Frysere"
38,"Fugematerialer"
219,"Fyrfadslys (Metalbeholderen)"
168,"Fyrværkeri"
254,"Gardiner"
19,"Gasbeton"
184,"Gasdåser"
158,"Gasflasker"
244,"Gavepapir"
133,"Genopladelige batterier"
24,"Gips"
27,"Gipsfigurer"
25,"Gipsplader"
55,"Glas i skifterammer"
23,"Glaserede fliser"
187,"Glasflasker"
188,"Glasskår"
32,"Glasuld"
143,"Glødepærer"
206,"Græs"
180,"Grillpatroner"
314,"Gummistøvler"
207,"Hækafklip"
144,"Halogen"
275,"Halvpaller"
255,"Håndklæder"
159,"Håndsprit"
45,"Håndvaske"
291,"Hård plast"
238,"Hardback"
10,"Havefliser"
277,"Havehegn"
325,"Havemøbler (Plast)"
181,"Heliumflasker"
77,"Højtryksrensere over 120 cm"
85,"Højtryksrensere under 120 cm"
259,"Hullede sokker"
305,"Hvid flamingo"
328,"Hyndebokse"
279,"Imprægnerede pæle"
280,"Imprægnerede stolper"
281,"Imprægneret træ"
248,"Indpakningspapir"
72,"iPads"
15,"Isolering"
225,"Jern"
282,"Jernbanesveller"
4,"Jord"
233,"Juicekartoner"
199,"Juledekorationer"
198,"Juletræer"
92,"Kabeltromle"
28,"Kabler"
220,"Kaffekapsler"
120,"Kaffemaskiner"
174,"Kanyler"
308,"Kapilærkasser"
227,"Karton"
160,"Kemikalier"
49,"Keramik"
78,"Keramiske kogeplader"
5,"Klinker"
139,"Knallertbatterier"
295,"Knallertdæk"
323,"Kødbakker"
267,"Køkkenskabe"
161,"Køleelementer"
86,"Køleskabe"
79,"Komfurer"
211,"Konservesdåser"
249,"Konvolutter"
80,"Kopimaskiner"
98,"Kopimaskinetoner"
89,"Kummefrysere"
265,"Kunstlæder"
134,"Kviksølvbatterier"
256,"Lædervarer"
162,"Lak"
272,"Lakeret træ"
268,"Lamineret træ"
121,"Lamper"
99,"Lasertoner"
296,"Lastbildæk"
185,"Lattergaspatroner"
20,"Leca"
94,"Ledninger"
239,"Leksikon"
163,"Lim"
135,"Lithiumbatterier"
178,"Lysstofrør"
148,"Lysstofrør over 60 cm"
145,"Lysstofrør under 60 cm"
234,"Madkartoner"
164,"Madolie til friture"
235,"Mælkekartoner"
243,"Magasiner"
68,"Maling"
165,"Maling og malerspande"
269,"MDF"
175,"Medicin"
190,"Medicinglas"
191,"Metallåg"
107,"Mikrobølgeovne"
108,"Mikroovne"
122,"Mobiltelefoner"
21,"Mørtel"
140,"Motorcykelbatterier"
297,"Motorcykeldæk"
166,"Motorolie"
202,"Muldjord"
36,"Mursten"
11,"Natursten"
167,"Neglelak"
210,"Øldåser"
224,"Ølkapsler"
141,"Opladere"
81,"Opvaskemaskiner"
318,"Pålægsbakker (PET)"
35,"Pap"
240,"Paperback"
252,"Papir til makulering (F.eks. på grund af persondata og rimeligt irriterende lange titler)"
228,"Papkasser"
109,"Paraboler"
9,"Parasolfødder (Beton)"
169,"Petroleum"
111,"Pladespillere"
316,"Plast med symbolet 1"
317,"Plastflasker (PET)"
288,"Plastfolie (Vitawrap)"
329,"Plasthavemøbler (med metal)"
327,"Plastikborde"
138,"Plastikposer"
326,"Plastikstole"
319,"Plastlåg (PET)"
276,"Plastpaller"
50,"Porcelæn"
292,"Poser fra haveaffald"
204,"Pottemuld"
290,"Presenninger"
74,"Printere"
100,"Printerpatroner"
263,"Puder"
182,"Pulver- og skumslukkere"
312,"PVC kloakrør"
310,"PVC plastrør"
311,"PVC tagrender"
222,"Radiatorer"
250,"Reklamer"
242,"Ringbind"
33,"Rockwool"
195,"Rødder"
170,"Rottegift"
123,"Routere"
229,"Rudekuverter"
203,"Sandjord"
39,"Sanitet"
257,"Sengetøj"
103,"Skærme med billedrør"
264,"Sko"
209,"Sodavandsdåser"
320,"Sodavandsflasker"
289,"Sorte affaldssække"
270,"Spånplader"
146,"Sparepærer"
56,"Spejle"
57,"Spejlglas"
171,"Spraydåser"
51,"Stålvaske"
75,"Stationære computere"
110,"Stationære PC'ere"
221,"Stegepander"
40,"Stentøj"
34,"Stenuld"
30,"Stik"
95,"Stikdåser"
31,"Stikkontakter"
113,"Støvsugere"
124,"Strygejern"
90,"Svaleskabe"
189,"Syltetøjsglas"
172,"Syre"
73,"Tablets"
42,"Tagpap"
43,"Tagpap med træ"
17,"Tegl"
22,"Tegl med mørtel"
37,"Teglsten"
251,"Tegneserier"
241,"Telefonbøger"
76,"Telefoner"
62,"Termoruder med PCB risiko"
66,"Tisseunderlag"
46,"Toiletkummer"
173,"Toiletrens"
47,"Toiletter"
258,"Tøj"
223,"Tørrestativer"
82,"Tørretumblere"
266,"Træ"
196,"Træer"
271,"Træmøbler"
298,"Traktordæk"
313,"Trapezplader"
299,"Trillebørdæk"
261,"Trøjer med TECHCOLLEGE tryk"
29,"Troldtekt"
101,"Tromler"
176,"Trykflasker"
283,"Trykimprægneret brædder"
104,"TV med billedrør"
284,"Udendørs træ"
147,"Udladningslamper"
125,"Ure"
200,"Urtepotter (Keramik)"
201,"Urtepotter (Plastik)"
26,"Vådrumsgips"
83,"Vaskemaskiner"
44,"Vindpap"
321,"Vindruebakker"
58,"Vinduer"
59,"Vinduesglas"
60,"Vinduesglas med og uden ramme"
315,"Vinylgulve"
236,"Yoghurtkartoner"
